concentration,electric_field,gap_mm,pressure,ne,ni,Ar_794,ErrAr_794
1.0,197.4,0.0416,10.0,98.8,99.79,331.3663967611336,1.8313685861650137
1.0,199.5,0.0404,10.0,116.4,117.71,319.3384879725086,1.656338673234162
1.0,2.3,1.3952,0.05,111.59,110.76,128.91836186038174,1.0748423020120936
1.0,2.3,1.3952,0.05,111.59,110.76,128.91836186038174,1.0748423020120936
1.0,2.3,1.3967,0.05,105.4,104.51,127.25806451612902,1.0988093630298474
1.0,2.3,1.3967,0.05,105.4,104.51,127.25806451612902,1.0988093630298474
1.0,208.1,0.0107,1.0,101.78,100.55,42.65081548437807,0.6473400043241947
1.0,223.9,0.0299,10.0,111.53,111.75,280.0771092979467,1.5846850346918864
1.0,226.2,0.0291,10.0,125.39,125.79,268.8093149373953,1.4641673085641078
1.0,231.0,0.0096,1.0,97.97,96.72,37.66459120138818,0.6200405245886471
1.0,25.7,0.2222,1.0,115.82,115.86,238.96563633223968,1.4364018184980212
1.0,251.2,0.0227,10.0,109.4,109.36,239.15904936014624,1.4785456852355208
1.0,259.2,0.0211,10.0,100.27,99.95,228.42325720554504,1.5093315577853885
1.0,28.5,0.118,0.05,125.01,121.53,23.84609231261499,0.4367533379639612
1.0,28.5,0.118,0.05,125.01,121.53,23.84609231261499,0.4367533379639612
1.0,281.8,0.0175,10.0,109.63,109.29,211.39286691599017,1.3886105397827537
1.0,284.8,0.008,1.0,87.39,85.93,34.248769882137545,0.6260249166536185
1.0,297.0,0.0156,10.0,110.72,110.28,197.7601156069364,1.3364610775356875
1.0,3.5,0.7054,0.05,75.28,74.3,89.91764080765144,1.0929055883143806
1.0,3.5,0.7054,0.05,75.28,74.3,89.91764080765144,1.0929055883143806
1.0,3.9,0.6076,0.05,82.84,81.85,83.63109608884596,1.0047634981499185
1.0,3.9,0.6076,0.05,82.84,81.85,83.63109608884596,1.0047634981499185
1.0,31.6,0.1143,0.05,128.21,124.03,22.759535137664766,0.4213284092058187
1.0,31.6,0.1143,0.05,128.21,124.03,22.759535137664766,0.4213284092058187
1.0,31.6,0.1361,1.0,111.17,110.55,186.8219843482954,1.2963437778320173
1.0,316.2,0.0074,1.0,84.37,82.66,32.86713286713287,0.6241469975432777
1.0,316.2,0.0137,10.0,104.04,103.48,181.78585159554018,1.32184297639468
1.0,340.3,0.0118,10.0,102.93,102.22,171.21344603128338,1.2897274635582214
1.0,35.1,0.1129,1.0,114.39,113.72,165.90611067400997,1.2043068626568338
1.0,351.1,0.0112,10.0,109.45,108.68,167.37322978529008,1.2366167234976566
1.0,354.8,0.0108,10.0,81.69,80.89,165.8832170400294,1.4250062744127387
1.0,366.1,0.0103,10.0,107.79,107.09,156.98116708414508,1.2067978862168383
1.0,389.9,0.006,1.0,63.32,61.7,27.732154137713202,0.6617917510978194
1.0,389.9,0.009,10.0,88.79,87.94,154.29665502871944,1.3182452878386783
1.0,389.9,0.0093,10.0,98.72,97.97,150.49635332252836,1.2346970627386695
1.0,398.1,0.0086,10.0,94.85,94.0,147.67527675276753,1.2477719806460945
