concentration,electric_field,gap_mm,pressure,ne,ni,Ar_dbleStar,ErrAr_dbleStar
1.0,1.4,3.9348,0.05,122.6,122.44,428.72756933115824,1.8700166388176331
1.0,1.4,3.9348,0.05,122.6,122.44,428.72756933115824,1.8700166388176331
1.0,1.5,3.145,0.05,136.95,136.51,366.32347572106613,1.6355030459679143
1.0,1.5,3.145,0.05,136.95,136.51,366.32347572106613,1.6355030459679143
1.0,10.2,4.2352,1.0,27.05,38.84,4210.314232902033,12.475949851269343
1.0,100.0,0.1112,0.05,108.07,101.06,21.356528176182106,0.44454195056775475
1.0,100.0,0.1112,0.05,108.07,101.06,21.356528176182106,0.44454195056775475
1.0,1021.2,0.0022,10.0,87.65,86.66,114.22703936109525,1.1415856475846196
1.0,104.3,0.4769,10.0,75.38,107.52,3999.8938710533303,7.28443995211279
1.0,104.4,0.57,10.0,175.34,248.13,3934.464469031596,4.736988307374433
1.0,11.1,0.1957,0.05,90.07,88.81,64.99389363828134,0.8494663822977051
1.0,11.1,0.1957,0.05,90.07,88.81,64.99389363828134,0.8494663822977051
1.0,111.0,0.0204,1.0,103.88,102.89,108.86599922988064,1.0237175793295465
1.0,111.0,0.3486,10.0,105.83,133.66,2968.043087971275,5.2957893592775065
1.0,114.6,0.2986,10.0,97.01,117.33,2608.236264302649,5.1851964160511885
1.0,118.2,0.2598,10.0,92.63,109.29,2387.0128468098887,5.076349863539769
1.0,1182.3,0.0018,10.0,82.01,81.0,101.47542982563101,1.112364304041018
1.0,12.3,0.1807,0.05,91.3,90.11,61.69769989047098,0.8220516361866722
1.0,12.3,0.1807,0.05,91.3,90.11,61.69769989047098,0.8220516361866722
1.0,123.3,0.0179,1.0,101.31,100.27,96.78215378541111,0.9773980846846532
1.0,125.9,0.1971,10.0,111.44,125.17,1930.4289303661164,4.162041028168198
1.0,13.7,1.3416,1.0,87.07,93.72,1528.8733203169866,4.190361383094009
1.0,131.3,0.1627,10.0,112.21,123.55,1702.4953212726139,3.8951768672923763
1.0,150.4,0.0969,10.0,105.18,109.71,1203.356151359574,3.382443165244788
1.0,152.0,0.0146,1.0,109.42,108.29,82.05081337963809,0.8659505454121492
1.0,168.8,0.0129,1.0,106.21,105.07,78.11882120327654,0.8576204657226911
1.0,172.3,0.0618,10.0,92.59,94.79,915.57403607301,3.1445948017080965
1.0,18.1,0.57,1.0,148.87,152.0,834.6073755625713,2.367759103097287
1.0,18.7,0.1399,0.05,109.11,106.98,47.273393822747686,0.658227637099275
1.0,18.7,0.1399,0.05,109.11,106.98,47.273393822747686,0.658227637099275
1.0,18.7,0.501,1.0,120.76,122.62,779.9354090758529,2.541369226326004
1.0,182.3,0.05,10.0,71.34,72.24,833.9220633585646,3.418977003091277
1.0,197.4,0.0416,10.0,98.8,99.79,709.9797570850203,2.680677140203633
