file,electric_field,pressure,gap,gas1,concentration_gas_1,gas2,concentration_gas_2,concentration,ne_mean,ne_std,ni_mean,ni_std,n_entries
ar_99.0_cf4_1.0_31.6kVcm_0.050bar_0.1143mm_100npe.root,31.6,0.05,0.1143,ar,99.0,cf4,1.0,1.0,128.21,83.63621261514692,124.03,81.84926463452265,100
ar_99.0_cf4_1.0_31.6kVcm_1.000bar_0.1361mm_100npe.root,31.6,1.0,0.1361,ar,99.0,cf4,1.0,1.0,111.17,79.87946158956245,110.55,80.17762792825702,100
ar_99.0_cf4_1.0_316.2kVcm_1.000bar_0.0074mm_100npe.root,316.2,1.0,0.0074,ar,99.0,cf4,1.0,1.0,84.37,40.77993540104167,82.66,40.55329950830266,100
ar_99.0_cf4_1.0_316.2kVcm_10.000bar_0.0137mm_100npe.root,316.2,10.0,0.0137,ar,99.0,cf4,1.0,1.0,104.04,66.87798629224007,103.48,67.19404735540195,100
ar_99.0_cf4_1.0_340.3kVcm_10.000bar_0.0118mm_100npe.root,340.3,10.0,0.0118,ar,99.0,cf4,1.0,1.0,102.93,71.06210898455895,102.22,71.29389734037407,100
ar_99.0_cf4_1.0_35.1kVcm_1.000bar_0.1129mm_100npe.root,35.1,1.0,0.1129,ar,99.0,cf4,1.0,1.0,114.39,77.95011289927746,113.72,78.32876582428422,100
ar_99.0_cf4_1.0_351.1kVcm_10.000bar_0.0112mm_100npe.root,351.1,10.0,0.0112,ar,99.0,cf4,1.0,1.0,109.45,80.26375397413331,108.68,80.36229579758523,100
ar_99.0_cf4_1.0_354.8kVcm_10.000bar_0.0108mm_100npe.root,354.8,10.0,0.0108,ar,99.0,cf4,1.0,1.0,81.69,55.24009943744296,80.89,55.38841635817607,100
ar_99.0_cf4_1.0_366.1kVcm_10.000bar_0.0103mm_100npe.root,366.1,10.0,0.0103,ar,99.0,cf4,1.0,1.0,107.79,82.67317850696466,107.09,82.88291546976178,100
ar_99.0_cf4_1.0_389.9kVcm_1.000bar_0.0060mm_100npe.root,389.9,1.0,0.006,ar,99.0,cf4,1.0,1.0,63.32,31.574788561877543,61.7,31.297368140552212,100
ar_99.0_cf4_1.0_389.9kVcm_10.000bar_0.0090mm_100npe.root,389.9,10.0,0.009,ar,99.0,cf4,1.0,1.0,88.79,66.77147745871886,87.94,66.88386135003653,100
ar_99.0_cf4_1.0_389.9kVcm_10.000bar_0.0093mm_100npe.root,389.9,10.0,0.0093,ar,99.0,cf4,1.0,1.0,98.72,72.8079083283644,97.97,73.0636162546176,100
ar_99.0_cf4_1.0_398.1kVcm_10.000bar_0.0086mm_100npe.root,398.1,10.0,0.0086,ar,99.0,cf4,1.0,1.0,94.85,65.61155586195363,94.0,65.69012040780501,100
