level,gas,state_name,type,energy_eV,n_events
27,Ar, EXC 3D1!!  J=2                    ELEVEL= 14.063 ,excitation,14.063,37022.0
28,Ar, EXC 2S5    J=2                    ELEVEL= 14.068 ,excitation,14.068,36505.0
29,Ar, EXC 2S4    J=1 RESONANT           ELEVEL= 14.090 ,excitation,14.09,15554.0
30,Ar, EXC 3D1!   J=3                    ELEVEL= 14.099 ,excitation,14.099,7973.0
31,Ar, EXC 3D2    J=1 RESONANT           ELEVEL= 14.153 ,excitation,14.153,43765.0
32,Ar, EXC 3S1!!!!J=2                    ELEVEL= 14.214 ,excitation,14.214,47985.0
33,Ar, EXC 3S1!!  J=2                    ELEVEL= 14.234 ,excitation,14.234,29681.0
34,Ar, EXC 3S1!!! J=3                    ELEVEL= 14.236 ,excitation,14.236,11573.0
35,Ar, EXC 2S3    J=0                    ELEVEL= 14.241 ,excitation,14.241,7253.0
36,Ar, EXC 2S2    J=1 RESONANT           ELEVEL= 14.255 ,excitation,14.255,6257.0
37,Ar, EXC 3S1!   J=1 RESONANT           ELEVEL= 14.304 ,excitation,14.304,51153.0
38,Ar, EXC 4D5    J=1 RESONANT           ELEVEL= 14.711 ,excitation,14.711,858.0
39,Ar, EXC 3S4    J=1 RESONANT           ELEVEL= 14.848 ,excitation,14.848,6326.0
40,Ar, EXC 4D2    J=1 RESONANT           ELEVEL= 14.859 ,excitation,14.859,21304.0
41,Ar, EXC 4S1!   J=1 RESONANT           ELEVEL= 15.004 ,excitation,15.004,8408.0
42,Ar, EXC 3S2    J=1 RESONANT           ELEVEL= 15.022 ,excitation,15.022,8941.0
43,Ar, EXC 5D5    J=1 RESONANT           ELEVEL= 15.118 ,excitation,15.118,1553.0
44,Ar, EXC 4S4    J=1 RESONANT           ELEVEL= 15.186 ,excitation,15.186,16014.0
45,Ar, EXC 5D2    J=1 RESONANT           ELEVEL= 15.190 ,excitation,15.19,15750.0
46,Ar, EXC 6D5    J=1 RESONANT           ELEVEL= 15.308 ,excitation,15.308,265.0
47,Ar, EXC 5S1!   J=1 RESONANT           ELEVEL= 15.351 ,excitation,15.351,178.0
48,Ar, EXC 4S2    J=1 RESONANT           ELEVEL= 15.360 ,excitation,15.36,230.0
49,Ar, EXC 5S4    J=1 RESONANT           ELEVEL= 15.366 ,excitation,15.366,4453.0
50,Ar, EXC 6D2    J=1 RESONANT           ELEVEL= 15.374 ,excitation,15.374,10146.0
51,Ar, EXC HIGH   J=1 RESONANT           ELEVEL= 15.660 ,excitation,15.66,40226.0
52,N2, ELASTIC ANISOTROPIC          NITROGEN            ,elastic,0.0,1900462.0
53,N2, IONISATION N2+ X2SIGMA VIB=0     ELOSS=  15.581  ,ionisation,15.581,1531.0
54,N2, IONISATION N2+ X2SIGMA VIB>0     ELOSS=  15.855  ,ionisation,15.855,377.0
55,N2, IONISATION N2+ A2PI    VIB=0     ELOSS=  16.699  ,ionisation,16.699,472.0
56,N2, IONISATION N2+ A2PI    VIB=1     ELOSS=  16.935  ,ionisation,16.935,650.0
57,N2, IONISATION N2+ A2PI    VIB>1     ELOSS=  17.171  ,ionisation,17.171,1061.0
58,N2, IONISATION N2+ B2SIGMA           ELOSS=  18.751  ,ionisation,18.751,470.0
59,N2, IONISATION N2+ C2SIGMA           ELOSS=  23.591  ,ionisation,23.591,32.0
60,N2," DISSOC ION (N+,N)                ELOSS=  24.294  ",ionisation,24.294,30.0
61,N2," DISSOC ION (N+,N*)               ELOSS=  24.4    ",ionisation,24.4,6.0
62,N2," DISSOC ION (N+*,N)               ELOSS=  35.7    ",ionisation,35.7,0.0
63,N2," DISSOC ION (N++,N) AND (N+,N+)   ELOSS=  38.8    ",ionisation,38.8,0.0
